alpha;m;target_n;ops;trials;miss_prob;avg_search;avg_insert;avg_delete;avg_search_hit;avg_search_miss;avg_insert_hit;avg_insert_miss;avg_delete_hit;avg_delete_miss
0.10;1000;100;200000;10;0.50;423.775709;422.862888;422.957320;1.230738;845.157059;845.398609;1.229670;1.228280;845.979013
0.20;1000;200;200000;10;0.50;424.150216;423.142076;423.278193;1.415182;845.617917;845.649767;1.417290;1.415144;845.532413
0.30;1000;300;200000;10;0.50;430.573906;430.191732;431.255236;2.187178;858.558753;859.630750;2.188121;2.193028;859.089418
0.40;1000;400;200000;10;0.50;449.637147;448.709520;449.388322;2.533011;895.556211;895.708063;2.529610;2.537797;895.769755
0.50;1000;500;200000;10;0.50;453.757440;452.653704;453.104748;3.142320;902.668528;902.428364;3.139052;3.142738;902.439141
0.60;1000;600;200000;10;0.50;462.367557;461.164551;462.537517;4.280419;919.363562;919.593446;4.276520;4.317132;920.260361
0.70;1000;700;200000;10;0.50;478.370309;476.876473;478.474535;9.916466;945.475562;945.221502;9.990088;9.833219;946.341649
0.80;1000;800;200000;10;0.50;488.483217;487.639460;488.644564;16.361091;960.176632;959.827837;16.365713;16.254483;960.588385
0.90;1000;900;200000;10;0.50;504.885817;503.613313;504.499249;26.545383;982.483535;981.952440;26.575870;26.262383;982.371942
